title,company,location,salary,description,url,date_posted,job_id
"Data Analyst, AI & Data, Technology Consulting",EY,Singapore 048583,N/A,"Familiarity withdatagovernance,datasecurity, and privacy practices.Experience of data-driven organizational transformation supported bydatainsights and…",https://sg.indeed.com/rc/clk?jk=328123c1f951be62&bb=skEPa2iXzWJFPYd_3OgFZ9oa0yLFaGJzSjg8bixZR_GfMWFwqWJkE_0t8yNpM5b5-xMBKWTPncPq1RwRRfHLN1GOnl7PTn3m2tB6oT0wESBeDzE0ybKCW2KPjDYTIMiO&xkcb=SoA867M3197xfkAZD70JbzkdCdPP&fccid=1544766d4c2915b0&vjs=3,Not specified,328123c1f951be62
Data Analyst - Intern,MSD,Hybrid work in Singapore,N/A,Providedataanalytics consultations to leadership and product team.Ad-hoc analytics against datasets provisioned ondataplatform.Intern/Co-op (Fixed Term).,https://sg.indeed.com/rc/clk?jk=0e6858eb809a6556&bb=skEPa2iXzWJFPYd_3OgFZ4DH_R6D7RoEt0tOniOiDL-oo2L1ADD7tPGxyQFJaqbwcEBcNfoatkdQlkuU1eF0tpaTk9Juvm587A2Tz9wOH16bEzaDtsENJ2_3EhohsAEi&xkcb=SoCI67M3197xfkAZD70IbzkdCdPP&fccid=3c0bf511b4a29309&vjs=3,Not specified,0e6858eb809a6556
Carbon Data Analyst Intern,Terrascope,Singapore,N/A,"Be responsible fordatatransformation and PDF extraction.Proficiency in Microsoft Excel, SQL, Python and otherdataanalysis tools.",https://sg.indeed.com/rc/clk?jk=28ed663480b47e30&bb=skEPa2iXzWJFPYd_3OgFZxiEVdrs5lfRmb58N7sl6TrKZ6omk4Np0f_lSUf4QklTne4jg5LJ0T9hhYKxF2x676FhNfIIIIutoO_vrOuB-0viPrf7ltrHfuwNwe7yfwOg&xkcb=SoAG67M3197xfkAZD70PbzkdCdPP&fccid=dc5b60d9e9b53b27&vjs=3,Not specified,28ed663480b47e30
Data Analyst,StarHub,Singapore,N/A,Collaborate closely with the BI Lead and other data-centric roles to ensure alignment anddataintegrity across projects.,https://sg.indeed.com/rc/clk?jk=f9aaf919d8ed5772&bb=skEPa2iXzWJFPYd_3OgFZ4Ofj2r9J5YCldtm81dYJDem8ef2e0owHCjINO1S8RB2C8j2TLdgGOunS6uMyTuSqHaJhUStmqH2pe5qh3Wef3yrRnI7Fiu7U0Wih8LoPyhQ&xkcb=SoCy67M3197xfkAZD70ObzkdCdPP&fccid=6f4d576f7f431e00&vjs=3,Not specified,f9aaf919d8ed5772
"Marketing Analytics, Junior Data Analyst (Campus Hiring 2025)",Shopee,Singapore,N/A,"Work with bigdatausing Hadoop ecosystem, with support fromdataengineers.Passionate aboutdataand solving challenging problems.",https://sg.indeed.com/rc/clk?jk=115d82e56113d71f&bb=skEPa2iXzWJFPYd_3OgFZ1IJefR9gUiiX9CyIVFJn0lrNH01-Y6t9jxvxZSdTiNPFOhA_5CJ2XfByFhklINunk9vV-Ftqn3IKOmNppe4HjKPtKmiEDLBRIMaAGnVhp4h&xkcb=SoAv67M3197xfkAZD70NbzkdCdPP&fccid=0b476c4a7add47fe&vjs=3,Not specified,115d82e56113d71f
Commercial Business Analyst,H&M,Singapore,N/A,"Collaborate with regional and global teams to combine webdata, customer insights, and productdatato improve assortment strategy and product activations.",https://sg.indeed.com/rc/clk?jk=b4b0ab5de11389bd&bb=skEPa2iXzWJFPYd_3OgFZ0DWKYp-I-WUNk9K3Xeu2cDzGzH8udCxZ9zSakjEiowUTrRzBkfYgmP4LaZfJU050b2VaiOUGVmuDSNlGEyc8fm3w4t4Ay2r6G34J9bv4lmr&xkcb=SoCb67M3197xfkAZD70MbzkdCdPP&fccid=7c13ea7d2941e927&vjs=3,Not specified,b4b0ab5de11389bd
Data Team Analyst,Phillips 66,Singapore,N/A,"Theanalystwill primarily utilize tools such as Databricks,DataFactory, and Power BI to develop meaningful insights into thedata; while developing a strong…",https://sg.indeed.com/rc/clk?jk=08f7c6fc52c37593&bb=skEPa2iXzWJFPYd_3OgFZydbvhKa7ng_f214bjDwotACEJvn_4JLKo-ZITLmm3KzjWGFgJPCrs4iw2kAl-aDMS-wnBa4SxB5pVr21p3K1RIFhLjf7sdQLPHmftGVESWx&xkcb=SoBy67M3197xfkAZD70DbzkdCdPP&fccid=72fa81f7018f6344&vjs=3,Not specified,08f7c6fc52c37593
Data Analyst Intern,ADDX,Singapore,N/A,"Perform exploratorydataanalysis,dataprofiling,datamapping anddatavalidation to assuredataintegrity, accuracy and consistency, identify the root cause…",https://sg.indeed.com/rc/clk?jk=fc053ad8f2f53359&bb=skEPa2iXzWJFPYd_3OgFZ73rJ0tx6LT0iM8ZLbLzMOspQLTZEesCUB8m4NLKDsk3ki2qZO-3Ntj1GqnQOJgOgC0_9oed7_KjWJNbUS3o8usg07ubOFHjoMqM4cTwliPG&xkcb=SoDG67M3197xfkAZD70CbzkdCdPP&fccid=d6e5d7e223ac379f&vjs=3,Not specified,fc053ad8f2f53359
Data Analyst,Pacific International Lines,Singapore,N/A,Build and maintaindatainfrastructure anddatapipelines to supportdataanalytics and machine learning models.,https://sg.indeed.com/rc/clk?jk=ae54bf9eed60989e&bb=skEPa2iXzWJFPYd_3OgFZwb_YC_0vjsNmKJ96JHz0Uv9s6aag8GOnpVqx_ICAFXqoZDGplHHMlw8740tGRMP8vpQM2sUimCDHcwuH-PHxqxwNJrXblvyTuzYkZnUHt5V&xkcb=SoBb67M3197xfkAZD70BbzkdCdPP&fccid=9ba15ce8cebdfa4b&vjs=3,Not specified,ae54bf9eed60989e
Data Analyst,Montfort Care,Singapore 398008,N/A,Reviewdatacollection practices and developdatacollection framework.Establish newdatagathering techniques.Documentation and Improvement of Work Process.,https://sg.indeed.com/rc/clk?jk=96bd82a2399a0727&bb=skEPa2iXzWJFPYd_3OgFZ_0Z9xGi5up5XxkrjW6neM7az_g2mmz8mlPcCrJonh7I9kGYVGikhNzevxA3uK7fdsFLanc7Pemcxqu6750yclON68IKDueMQ_R_xVIGvDsi&xkcb=SoDv67M3197xfkAZD70AbzkdCdPP&fccid=11a541b210b1c515&vjs=3,Not specified,96bd82a2399a0727
